credit_history_id,customer_id,credit_score,credit_bureau,score_date
3c6caa75-7dd7-4492-9e5d-819011f0a27a,2396cc68-c551-4617-a578-cbb105fc88a3,389.0,Equifax,2023-07-09 17:06:40.616771
0853fcaf-168d-4ca5-9234-6d655c0f4485,2396cc68-c551-4617-a578-cbb105fc88a3,768.0,Experian,2023-11-08 12:36:13.833190
4dfab6e5-a3ed-4437-9ab3-7f3621934277,2396cc68-c551-4617-a578-cbb105fc88a3,398.0,TransUnion,2023-02-10 04:44:05.292987
5fd8d033-b23d-4b1f-adc4-ae175b1306aa,0e6cd5ab-46c6-4d27-b79e-5ff6158fa98e,391.0,Equifax,2024-05-20 22:15:02.090375
34bb5ace-b219-4af6-9316-d9e1626aaf15,1da9bc22-b2ea-44aa-9544-2e6a721e2ab1,665.0,Experian,2023-08-05 06:25:14.710145
1db0f227-a64f-4b89-ab96-52f4a0d5f404,1da9bc22-b2ea-44aa-9544-2e6a721e2ab1,347.0,Experian,2023-04-30 02:56:33.596205
13eea799-00d3-4705-966e-caf5ab23e89d,1da9bc22-b2ea-44aa-9544-2e6a721e2ab1,531.0,,2024-12-19 04:32:36.523321
e70ab16a-0582-4e5c-9c0f-b9ad8c8e1555,1da9bc22-b2ea-44aa-9544-2e6a721e2ab1,634.0,TransUnion,2024-05-14 20:52:48.940765
f03dbb4b-f8da-460d-b696-7dafde2c3999,1c5fe717-7e20-4749-98b0-2b5bc2f5fade,617.0,Equifax,2024-11-03 06:21:02.244939
97cfc9d3-25aa-49d5-a98b-8532233342a3,1c5fe717-7e20-4749-98b0-2b5bc2f5fade,655.0,TransUnion,2024-03-03 02:19:43.567427
3539ed9d-5480-47b9-b3de-9f99580b2a18,1c5fe717-7e20-4749-98b0-2b5bc2f5fade,389.0,Equifax,2023-11-23 23:31:02.181860
c6fef370-7f67-45dc-b795-7e49cfc1ab38,1c5fe717-7e20-4749-98b0-2b5bc2f5fade,473.0,TransUnion,2025-08-12 11:23:20.808817
71b4907b-23eb-41a2-bbad-10c214fe10c0,910efe14-ecdb-48c6-9b25-40af3f308333,551.0,Equifax,2022-12-19 12:59:53.795444
e37b41b2-e606-4842-a2fb-b8d166cf42c9,910efe14-ecdb-48c6-9b25-40af3f308333,674.0,,2023-12-22 03:53:03.839585
ed5656ef-ec61-4e7a-87a5-11ac25d3b712,910efe14-ecdb-48c6-9b25-40af3f308333,764.0,Experian,2025-08-31 18:29:21.604245
9b3a085d-77e0-41de-a505-3290645ad0e6,a8c77f0b-e3dd-405e-ab51-88525ed6740d,470.0,TransUnion,2023-09-23 18:17:24.335991
61bfc472-9497-4806-9645-c72e59ffc217,a8c77f0b-e3dd-405e-ab51-88525ed6740d,381.0,TransUnion,2024-08-12 10:26:21.845839
60fb2742-36b7-489a-a9ec-01f31fc1f090,b184f3c2-8cbf-4b8b-a3f2-cfe44b375142,643.0,Equifax,2023-03-09 06:16:07.876349
